# layer,row,col,filter,float_value,q1.6_int,q1.6_hex
layer_0_filter_0,7,9,0,0.089027,6,0x06
layer_0_filter_0,7,10,0,0.093681,6,0x06
layer_0_filter_0,7,11,0,0.098335,6,0x06
layer_0_filter_0,7,12,0,0.102989,7,0x07
layer_0_filter_0,7,13,0,0.107643,7,0x07
layer_0_filter_0,7,14,0,0.112297,7,0x07
layer_0_filter_0,7,15,0,0.116951,7,0x07
layer_0_filter_0,7,16,0,0.121605,8,0x08
layer_0_filter_0,7,17,0,0.126259,8,0x08
layer_0_filter_0,7,18,0,0.130912,8,0x08
layer_0_filter_0,7,19,0,0.135566,9,0x09
layer_0_filter_0,7,20,0,0.140220,9,0x09
layer_0_filter_0,7,21,0,0.144874,9,0x09
layer_0_filter_0,7,22,0,0.149528,10,0x0A
layer_0_filter_0,7,23,0,0.154182,10,0x0A
layer_0_filter_0,7,24,0,0.158836,10,0x0A
layer_0_filter_0,7,25,0,0.163490,10,0x0A
layer_0_filter_0,8,0,0,0.051796,3,0x03
layer_0_filter_0,8,1,0,0.056450,4,0x04
layer_0_filter_0,8,2,0,0.061104,4,0x04
layer_0_filter_0,8,3,0,0.065758,4,0x04
layer_0_filter_0,8,4,0,0.070412,5,0x05
layer_0_filter_0,8,5,0,0.075066,5,0x05
layer_0_filter_0,8,6,0,0.079719,5,0x05
layer_0_filter_0,8,7,0,0.084373,5,0x05
layer_0_filter_0,8,8,0,0.089027,6,0x06
layer_0_filter_0,8,9,0,0.093681,6,0x06
layer_0_filter_0,8,10,0,0.098335,6,0x06
layer_0_filter_0,8,11,0,0.102989,7,0x07
layer_0_filter_0,8,12,0,0.107643,7,0x07
layer_0_filter_0,8,13,0,0.112297,7,0x07
layer_0_filter_0,8,14,0,0.116951,7,0x07
layer_0_filter_0,8,15,0,0.121605,8,0x08
layer_0_filter_0,8,16,0,0.126259,8,0x08
layer_0_filter_0,8,17,0,0.130912,8,0x08
layer_0_filter_0,8,18,0,0.135566,9,0x09
layer_0_filter_0,8,19,0,0.140220,9,0x09
layer_0_filter_0,8,20,0,0.144874,9,0x09
layer_0_filter_0,8,21,0,0.149528,10,0x0A
layer_0_filter_0,8,22,0,0.154182,10,0x0A
layer_0_filter_0,8,23,0,0.158836,10,0x0A
layer_0_filter_0,8,24,0,0.163490,10,0x0A
layer_0_filter_0,8,25,0,0.168144,11,0x0B
layer_0_filter_0,9,0,0,0.056450,4,0x04
layer_0_filter_0,9,1,0,0.061104,4,0x04
layer_0_filter_0,9,2,0,0.065758,4,0x04
layer_0_filter_0,9,3,0,0.070412,5,0x05
layer_0_filter_0,9,4,0,0.075066,5,0x05
layer_0_filter_0,9,5,0,0.079719,5,0x05
layer_0_filter_0,9,6,0,0.084373,5,0x05
layer_0_filter_0,9,7,0,0.089027,6,0x06
layer_0_filter_0,9,8,0,0.093681,6,0x06
layer_0_filter_0,9,9,0,0.098335,6,0x06
layer_0_filter_0,9,10,0,0.102989,7,0x07
layer_0_filter_0,9,11,0,0.107643,7,0x07
layer_0_filter_0,9,12,0,0.112297,7,0x07
layer_0_filter_0,9,13,0,0.116951,7,0x07
layer_0_filter_0,9,14,0,0.121605,8,0x08
layer_0_filter_0,9,15,0,0.126259,8,0x08
layer_0_filter_0,9,16,0,0.130912,8,0x08
layer_0_filter_0,9,17,0,0.135566,9,0x09
layer_0_filter_0,9,18,0,0.140220,9,0x09
layer_0_filter_0,9,19,0,0.144874,9,0x09
layer_0_filter_0,9,20,0,0.149528,10,0x0A
layer_0_filter_0,9,21,0,0.154182,10,0x0A
layer_0_filter_0,9,22,0,0.158836,10,0x0A
layer_0_filter_0,9,23,0,0.163490,10,0x0A
layer_0_filter_0,9,24,0,0.168144,11,0x0B
layer_0_filter_0,9,25,0,0.172798,11,0x0B
layer_0_filter_0,10,0,0,0.061104,4,0x04
layer_0_filter_0,10,1,0,0.065758,4,0x04
layer_0_filter_0,10,2,0,0.070412,5,0x05
layer_0_filter_0,10,3,0,0.075066,5,0x05
layer_0_filter_0,10,4,0,0.079719,5,0x05
layer_0_filter_0,10,5,0,0.084373,5,0x05
layer_0_filter_0,10,6,0,0.089027,6,0x06
layer_0_filter_0,10,7,0,0.093681,6,0x06
layer_0_filter_0,10,8,0,0.098335,6,0x06
layer_0_filter_0,10,9,0,0.102989,7,0x07
layer_0_filter_0,10,10,0,0.107643,7,0x07
layer_0_filter_0,10,11,0,0.112297,7,0x07
layer_0_filter_0,10,12,0,0.116951,7,0x07
layer_0_filter_0,10,13,0,0.121605,8,0x08
layer_0_filter_0,10,14,0,0.126259,8,0x08
layer_0_filter_0,10,15,0,0.130912,8,0x08
layer_0_filter_0,10,16,0,0.135566,9,0x09
layer_0_filter_0,10,17,0,0.140220,9,0x09
layer_0_filter_0,10,18,0,0.144874,9,0x09
layer_0_filter_0,10,19,0,0.149528,10,0x0A
layer_0_filter_0,10,20,0,0.154182,10,0x0A
layer_0_filter_0,10,21,0,0.158836,10,0x0A
layer_0_filter_0,10,22,0,0.163490,10,0x0A
layer_0_filter_0,10,23,0,0.168144,11,0x0B
layer_0_filter_0,10,24,0,0.172798,11,0x0B
layer_0_filter_0,10,25,0,0.177452,11,0x0B
layer_0_filter_0,11,0,0,0.065758,4,0x04
layer_0_filter_0,11,1,0,0.070412,5,0x05
layer_0_filter_0,11,2,0,0.075066,5,0x05
layer_0_filter_0,11,3,0,0.079719,5,0x05
layer_0_filter_0,11,4,0,0.084373,5,0x05
layer_0_filter_0,11,5,0,0.089027,6,0x06
layer_0_filter_0,11,6,0,0.093681,6,0x06
layer_0_filter_0,11,7,0,0.098335,6,0x06
layer_0_filter_0,11,8,0,0.102989,7,0x07
layer_0_filter_0,11,9,0,0.107643,7,0x07
layer_0_filter_0,11,10,0,0.112297,7,0x07
layer_0_filter_0,11,11,0,0.116951,7,0x07
layer_0_filter_0,11,12,0,0.121605,8,0x08
layer_0_filter_0,11,13,0,0.126259,8,0x08
layer_0_filter_0,11,14,0,0.130912,8,0x08
layer_0_filter_0,11,15,0,0.135566,9,0x09
layer_0_filter_0,11,16,0,0.140220,9,0x09
layer_0_filter_0,11,17,0,0.144874,9,0x09
layer_0_filter_0,11,18,0,0.149528,10,0x0A
layer_0_filter_0,11,19,0,0.154182,10,0x0A
layer_0_filter_0,11,20,0,0.158836,10,0x0A
layer_0_filter_0,11,21,0,0.163490,10,0x0A
layer_0_filter_0,11,22,0,0.168144,11,0x0B
layer_0_filter_0,11,23,0,0.172798,11,0x0B
layer_0_filter_0,11,24,0,0.177452,11,0x0B
layer_0_filter_0,11,25,0,0.182105,12,0x0C
layer_0_filter_0,12,0,0,0.070412,5,0x05
layer_0_filter_0,12,1,0,0.075066,5,0x05
layer_0_filter_0,12,2,0,0.079719,5,0x05
layer_0_filter_0,12,3,0,0.084373,5,0x05
layer_0_filter_0,12,4,0,0.089027,6,0x06
layer_0_filter_0,12,5,0,0.093681,6,0x06
layer_0_filter_0,12,6,0,0.098335,6,0x06
layer_0_filter_0,12,7,0,0.102989,7,0x07
layer_0_filter_0,12,8,0,0.107643,7,0x07
layer_0_filter_0,12,9,0,0.112297,7,0x07
layer_0_filter_0,12,10,0,0.116951,7,0x07
layer_0_filter_0,12,11,0,0.121605,8,0x08
layer_0_filter_0,12,12,0,0.126259,8,0x08
layer_0_filter_0,12,13,0,0.130912,8,0x08
layer_0_filter_0,12,14,0,0.135566,9,0x09
layer_0_filter_0,12,15,0,0.140220,9,0x09
layer_0_filter_0,12,16,0,0.144874,9,0x09
layer_0_filter_0,12,17,0,0.149528,10,0x0A
layer_0_filter_0,12,18,0,0.154182,10,0x0A
layer_0_filter_0,12,19,0,0.158836,10,0x0A
layer_0_filter_0,12,20,0,0.163490,10,0x0A
layer_0_filter_0,12,21,0,0.168144,11,0x0B
layer_0_filter_0,12,22,0,0.172798,11,0x0B
layer_0_filter_0,12,23,0,0.177452,11,0x0B
layer_0_filter_0,12,24,0,0.182105,12,0x0C
layer_0_filter_0,12,25,0,0.186759,12,0x0C
layer_0_filter_0,13,0,0,0.075066,5,0x05
layer_0_filter_0,13,1,0,0.079719,5,0x05
layer_0_filter_0,13,2,0,0.084373,5,0x05
layer_0_filter_0,13,3,0,0.089027,6,0x06
layer_0_filter_0,13,4,0,0.093681,6,0x06
layer_0_filter_0,13,5,0,0.098335,6,0x06
layer_0_filter_0,13,6,0,0.102989,7,0x07
layer_0_filter_0,13,7,0,0.107643,7,0x07
layer_0_filter_0,13,8,0,0.112297,7,0x07
layer_0_filter_0,13,9,0,0.116951,7,0x07
layer_0_filter_0,13,10,0,0.121605,8,0x08
layer_0_filter_0,13,11,0,0.126259,8,0x08
layer_0_filter_0,13,12,0,0.130912,8,0x08
layer_0_filter_0,13,13,0,0.135566,9,0x09
layer_0_filter_0,13,14,0,0.140220,9,0x09
